,0
97,0.0009849248161501037
98,0.0029604513827833807
99,0.0040038903251630115
100,0.0057706786547507315
101,0.0069074099195003515
102,0.009167312587718166
103,0.011393988996101757
104,0.011122873073503743
105,0.010521977586690037
106,0.010368673741422679
107,0.009785020623885846
108,0.010690049533125703
109,0.010417515700919994
110,0.010627581452033463
111,0.011853666410143283
112,0.012070312778348247
113,0.012841529953483819
114,0.012615352051740912
115,0.01433957899644773
116,0.015192710151840934
117,0.01761498005865754
118,0.018923891047310203
119,0.020135370287999346
120,0.02088624639548132
121,0.021357088226998812
122,0.02258020554864427
123,0.024283927334938952
124,0.02476922786905258
125,0.024860418709314727
126,0.02594364817976582
127,0.026820224161954852
128,0.02794745026276402
129,0.02851384292131277
130,0.028974878272529595
131,0.02938410128664095
132,0.02821526079530585
133,0.027061199880926135
134,0.02512829691644774
135,0.022851296771673454
136,0.021205494432166024
137,0.020202692140914694
138,0.01855636355385074
139,0.016323870571135206
140,0.014188702128700471
141,0.012984303912594515
142,0.011838247602466413
143,0.011645648026716963
144,0.011533733848486728
145,0.012572252390557948
146,0.013514964032504415
147,0.01488959496123437
148,0.01671115152783492
149,0.018522999234025787
150,0.019091545477459816
151,0.018806885773303778
152,0.017499756785276228
153,0.015621575383356751
154,0.01502389363426664
155,0.013258728642523981
156,0.01242025971091793
157,0.011044709194576462
158,0.010474459939887288
159,0.007575716742845601
160,0.005790864007298351
161,0.004428779835886829
162,0.0034651972019392983
163,-0.00015031149611983562
164,-0.0026322318335752033
165,-0.004409338575807824
166,-0.007262417917923335
167,-0.008780360327707282
168,-0.01055266184672378
169,-0.01212049708011501
170,-0.014309970810594713
171,-0.016531210345763943
172,-0.017967811260528287
173,-0.018272056089985868
174,-0.017378799293023196
175,-0.01737365953012741
176,-0.0173714706415457
177,-0.016244074538540217
178,-0.014266357718300595
179,-0.0142605447786834
180,-0.012445431163800043
181,-0.01109436262112373
182,-0.008639522148249344
183,-0.008856172840517616
184,-0.008022389323728034
185,-0.00878312088135165
186,-0.009219966106980441
187,-0.008689939998859277
188,-0.008154994033337856
189,-0.007693587674049086
190,-0.008388269921080854
191,-0.007762044768520089
192,-0.007410748764279571
193,-0.00644086252894373
194,-0.004007426733499527
195,-0.0030387533222224396
196,-0.0010348289223930736
197,0.00043357818202547244
198,0.0014165413485748455
199,0.0012175704476498671
200,0.0035708311799176775
201,0.005634657366654447
202,0.009335913232952112
203,0.012823781983604668
204,0.01680066248744735
205,0.019682425839570205
206,0.022621359348639805
207,0.02609364377927865
208,0.03063640470933154
209,0.03561617675348036
210,0.03988696404713984
211,0.044788455164267965
212,0.04803287433394604
213,0.051679780751402775
214,0.05573257742356426
215,0.05807789759726672
216,0.06091962985943007
217,0.061830695268004714
218,0.06046081928749334
219,0.05838244656696415
220,0.057399835468976895
221,0.056917423942545405
222,0.05510398510154612
223,0.05321007995355346
224,0.052023261838004216
225,0.05066636240262894
226,0.04897794036542816
